"area_code","area_name"
"110100","北京市"
"442000","中山市"
"442100","东沙群岛"
"445100","潮州市"
"441900","东莞市"
"440100","广州市"
"440600","佛山市"
"441600","河源市"
"441300","惠州市"
"445200","揭阳市"
"440700","江门市"
"440900","茂名市"
"441400","梅州市"
"441500","汕尾市"
"440500","汕头市"
"440200","韶关市"
"441800","清远市"
"440300","深圳市"
"441700","阳江市"
"445300","云浮市"
"440800","湛江市"
"440400","珠海市"
"441200","肇庆市"
"350100","福州市"
"350800","龙岩市"
"350700","南平市"
"350900","宁德市"
"350300","莆田市"
"350200","厦门市"
"350400","三明市"
"350500","泉州市"
"350600","漳州市"
"460400","儋州市"
"460100","海口市"
"460200","三亚市"
"460300","三沙市"
"469025","白沙黎族自治县"
"469029","保亭黎族苗族自治县"
"469026","昌江黎族自治县"
"469023","澄迈县"
"469021","定安县"
"469007","东方市"
"469027","乐东黎族自治县"
"469024","临高县"
"469028","陵水黎族自治县"
"469002","琼海市"
"469030","琼中黎族苗族自治县"
"469022","屯昌县"
"469006","万宁市"
"469005","文昌市"
"469001","五指山市"
"140200","大同市"
"140500","晋城市"
"140700","晋中市"
"141100","吕梁市"
"141000","临汾市"
"140600","朔州市"
"140100","太原市"
"140900","忻州市"
"140300","阳泉市"
"140400","长治市"
"140800","运城市"
"520400","安顺市"
"520500","毕节市"
"520100","贵阳市"
"520200","六盘水市"
"522300","黔西南布依族苗族自治州"
"522600","黔东南苗族侗族自治州"
"522700","黔南布依族苗族自治州"
"520600","铜仁市"
"520300","遵义市"
"450500","北海市"
"451000","百色市"
"451400","崇左市"
"450600","防城港市"
"450300","桂林市"
"450800","贵港市"
"451200","河池市"
"451100","贺州市"
"451300","来宾市"
"450200","柳州市"
"450100","南宁市"
"450700","钦州市"
"450400","梧州市"
"450900","玉林市"
"620400","白银市"
"623000","甘南藏族自治州"
"621100","定西市"
"620200","嘉峪关市"
"620900","酒泉市"
"620300","金昌市"
"620100","兰州市"
"621200","陇南市"
"622900","临夏回族自治州"
"620800","平凉市"
"621000","庆阳市"
"620500","天水市"
"620600","武威市"
