area_code,area_name,province,city
110100,北京市,10102000,-1
442000,中山市,,10101011
442100,东沙群岛,,
445100,潮州市,,10101020
441900,东莞市,,10101007
440100,广州市,10101002,-1
440600,佛山市,,10101003
441600,河源市,,10101023
441300,惠州市,,10101008
445200,揭阳市,,10101026
440700,江门市,,10101016
440900,茂名市,,10101012
441400,梅州市,,10101014
441500,汕尾市,,10101028
440500,汕头市,,10101013
440200,韶关市,,10101015
441800,清远市,,10101018
440300,深圳市,10101201,-1
441700,阳江市,,10101022
445300,云浮市,,10101068
440800,湛江市,,10101004
440400,珠海市,,10101005
441200,肇庆市,,10101006
350100,福州市,,10107001
350800,龙岩市,,10107008
350700,南平市,,10107004
350900,宁德市,,10107013
350300,莆田市,,10107010
350200,厦门市,,10107002
350400,三明市,,10107009
350500,泉州市,,10107003
350600,漳州市,,10107007
460400,儋州市,,10111020
460100,海口市,,10111001
460200,三亚市,,10111002
460300,三沙市,,
469025,白沙黎族自治县,,
469029,保亭黎族苗族自治县,,
469026,昌江黎族自治县,,
469023,澄迈县,,10111004
469021,定安县,,10111014
469007,东方市,,10111013
469027,乐东黎族自治县,,
469024,临高县,,10111015
469028,陵水黎族自治县,,
469002,琼海市,,10111007
469030,琼中黎族苗族自治县,,
469022,屯昌县,,10111016
469006,万宁市,,10111017
469005,文昌市,,10111006
469001,五指山市,,10111021
140200,大同市,,10125005
140500,晋城市,,10125011
140700,晋中市,,10125107
141100,吕梁市,,10125108
141000,临汾市,,10125006
140600,朔州市,,10125034
140100,太原市,,10125001
140900,忻州市,,10125003
140300,阳泉市,,10125009
140400,长治市,,10125010
140800,运城市,,10125008
520400,安顺市,,10110006
520500,毕节市,,10110021
520100,贵阳市,,10110001
520200,六盘水市,,10110002
522300,黔西南布依族苗族自治州,,10110059
522600,黔东南苗族侗族自治州,,10110083
522700,黔南布依族苗族自治州,,10110084
520600,铜仁市,,10110055
520300,遵义市,,10110007
450500,北海市,,10109010
451000,百色市,,10109004
451400,崇左市,,10109083
450600,防城港市,,10109006
450300,桂林市,,10109007
450800,贵港市,,10109014
451200,河池市,,10109009
451100,贺州市,,10109089
451300,来宾市,,10109018
450200,柳州市,,10109002
450100,南宁市,,10109001
450700,钦州市,,10109003
450400,梧州市,,10109008
450900,玉林市,,10109005
620400,白银市,,10108078
623000,甘南藏族自治州,,10108012
621100,定西市,,10108008
620200,嘉峪关市,,10108023
620900,酒泉市,,10108004
620300,金昌市,,10108006
620100,兰州市,,10108001
621200,陇南市,,10108084
622900,临夏回族自治州,,10108085
620800,平凉市,,10108009
621000,庆阳市,,10108064
620500,天水市,,10108007
620600,武威市,,10108003
620700,张掖市,,10108002
410500,安阳市,,10113003
410600,鹤壁市,,10113015
410800,焦作市,,10113017
